gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,at,ch,dvt,lct,lt,ni,re,revt,seq,teq,xt,costat,ggroup
62618,20131231,2013,INDL,C,D,STD,CWCO,CONSOLIDATED WATER CO INC,USD,165.365,33.627,4.415,23.577,23.867,8.594,46.684,63.822,138.899,141.498,,A,5510
62626,20130630,2013,INDL,C,D,STD,EPM,EVOLUTION PETROLEUM CORP,USD,66.556,24.929,0.674,2.633,11.72,6.628,24.013,21.349,54.836,54.836,,A,1010
62634,20131231,2013,INDL,C,D,STD,YHOO,YAHOO INC,USD,16804.959,2077.59,0,1340.312,3674.362,1366.281,4585.818,4680.38,13074.909,13130.597,,A,4510
62640,20131231,2013,INDL,C,D,STD,LORL,LORAL SPACE & COMMUNICATIONS,USD,327.74,5.926,0,9.71,119.83,16.579,-798.465,0,207.91,207.91,,A,2540
62646,20131231,2013,INDL,C,D,STD,CWBC,COMMUNITY WEST BANCSHARES,USD,539,1.449,1.039,,471.444,8.986,11.791,30.697,67.556,67.556,,A,4010
62654,20131231,2013,INDL,C,D,STD,SASR,SANDY SPRING BANCORP INC,USD,4106.1,46.755,16.13,,3606.737,44.422,280.928,196.858,499.363,499.363,,A,4010
62655,20131231,2013,INDL,C,D,STD,DF,DEAN FOODS CO,USD,2802.045,16.762,0,781.087,2087.73,813.178,-77.909,9016.321,714.315,714.315,,A,3020
62666,20130131,2012,INDL,C,D,STD,STRM,STREAMLINE HEALTH SOLUTIONS,USD,55.267,7.5,0.176,17.325,34.042,-5.379,-35.846,23.767,21.225,21.225,,A,3510
62686,20131231,2013,INDL,C,D,STD,CRR,CARBO CERAMICS INC,USD,878.951,94.25,26.35,56.688,110.364,84.886,711.574,667.398,768.587,768.587,,A,1010
62689,20131231,2013,INDL,C,D,STD,TRV,TRAVELERS COS INC,USD,103812,294,734,,79016,3673,25101,26080,24796,24796,,A,4030
62710,20131231,2013,INDL,C,D,STD,BOBS,BRAZIL FAST FOOD CORP,USD,75.697,21.214,,21.689,39.472,8.439,9.184,121.151,34.213,36.225,,A,2530
62715,20130930,2013,INDL,C,D,STD,DROP,FUSE SCIENCE INC,USD,1.646,0.029,0,2.055,2.307,-21.368,-44.482,0.487,-0.535,-0.661,,A,3030
62723,20131231,2013,INDL,C,D,STD,TCX,TUCOWS INC,USD,121.353,12.419,0,73.444,94.436,4.18,-13.574,129.935,26.917,26.917,,A,4510
62730,20131231,2013,INDL,C,D,STD,PLCM,POLYCOM INC,USD,1749.03,392.629,0,386.593,772.665,-18.076,-127.976,1368.389,976.365,976.365,,A,4520
62732,20131231,2013,INDL,C,D,STD,SYKE,SYKES ENTERPRISES INC,USD,950.261,211.985,0,173.38,314.557,37.26,357.363,1263.46,635.704,635.704,,A,4510
62745,20131231,2013,INDL,C,D,STD,JAKK,JAKKS PACIFIC INC,USD,449.844,117.071,3.084,184.595,301.159,-53.906,-52.003,632.925,148.685,148.685,,A,2520
62755,20131231,2013,INDL,C,D,STD,FFBH,FIRST FEDERAL BANCSHARES/AR,USD,548.872,6.242,0,,477.685,0.729,-21.753,23.714,71.187,71.187,,A,4010
62766,20131231,2013,INDL,C,D,STD,HVB,HUDSON VALLEY HOLDING CORP,USD,2999.199,37.711,4.77,,2714.89,1.13,-13.482,104.727,284.309,284.309,,A,4010
62819,20131231,2013,INDL,C,D,STD,3PWVI,POWERVERDE INC,USD,0.466,0.048,0,0.522,0.522,-1.055,-10.667,0.359,-0.056,-0.056,,A,2010
62823,20131231,2013,INDL,C,D,STD,FCN,FTI CONSULTING INC,USD,2364.947,205.833,0,384.33,1322.688,-10.594,679.532,1652.432,1042.259,1042.259,,A,2020
62844,20131231,2013,INDL,C,D,STD,GSH,GUANGSHEN RAILWAY CO LTD,USD,5489.534,68.17,93.63,1063.698,1079.939,210.424,1322.205,2610.086,4402.356,4409.595,,A,2030
62895,20131231,2013,INDL,C,D,STD,PFBI,PREMIER FINANCIAL BANCORP,USD,1100.179,27.378,4.183,,953.239,13.229,61.396,56.202,146.94,146.94,,A,4010
62897,20131231,2013,INDL,C,D,STD,TUP,TUPPERWARE BRANDS CORP,USD,1843.9,127.3,129.8,737.5,1591,274.2,972.4,2671.6,252.9,252.9,,A,2520
